Y,red,green,blue,vis_1,ir_2,vis_2,ir_3,vis_3,E
1,95.0,18.0,82.0,3009.0,1713.0,411.0,821.0,158.0,0
1,79.0,36.0,106.0,3578.0,1822.0,487.0,699.0,170.0,0
0,50.0,20.0,99.0,2920.0,1212.0,343.0,464.0,113.0,0
0,75.0,15.0,88.0,2799.0,1311.0,333.0,627.0,133.0,0
0,52.0,19.0,107.0,3440.0,1194.0,380.0,503.0,163.0,0
1,86.0,15.0,97.0,2846.0,1641.0,354.0,611.0,144.0,0
0,49.0,83.0,72.0,3666.0,1587.0,448.0,727.0,178.0,0
0,49.0,46.0,84.0,2539.0,1107.0,335.0,549.0,168.0,0
0,26.0,54.0,102.0,3148.0,1010.0,383.0,520.0,155.0,0
1,64.0,69.0,94.0,4046.0,1557.0,386.0,787.0,199.0,0
1,76.0,81.0,94.0,4934.0,2252.0,537.0,790.0,178.0,0
0,56.0,11.0,100.0,2986.0,1159.0,370.0,475.0,118.0,0
1,51.0,70.0,94.0,3878.0,1585.0,492.0,724.0,219.0,0
0,82.0,9.0,83.0,2658.0,1623.0,330.0,550.0,109.0,0
1,83.0,59.0,87.0,3991.0,2029.0,485.0,958.0,215.0,0
0,31.0,48.0,85.0,2917.0,1146.0,328.0,441.0,149.0,0
1,85.0,70.0,80.0,4839.0,2045.0,459.0,720.0,163.0,0
1,74.0,48.0,82.0,4200.0,1758.0,388.0,590.0,143.0,0
0,33.0,4.0,95.0,2352.0,856.0,327.0,337.0,136.0,0
1,59.0,46.0,102.0,3659.0,1679.0,467.0,699.0,157.0,0
1,66.0,52.0,80.0,3151.0,1750.0,424.0,582.0,109.0,0
0,44.0,34.0,99.0,3509.0,1127.0,391.0,441.0,136.0,0
1,95.0,49.0,102.0,4214.0,2643.0,581.0,867.0,210.0,0
0,27.0,60.0,91.0,2339.0,929.0,371.0,466.0,160.0,0
1,76.0,17.0,86.0,3214.0,1547.0,311.0,583.0,136.0,0
0,41.0,15.0,80.0,2196.0,861.0,263.0,377.0,103.0,0
0,57.0,1.0,79.0,2469.0,1190.0,266.0,430.0,105.0,0
0,30.0,56.0,85.0,3277.0,1210.0,351.0,436.0,169.0,0
1,71.0,62.0,72.0,3619.0,2067.0,427.0,712.0,124.0,0
0,76.0,5.0,80.0,2552.0,1720.0,391.0,658.0,123.0,0
0,74.0,7.0,107.0,2979.0,1499.0,349.0,628.0,143.0,0
1,84.0,61.0,93.0,4185.0,2172.0,515.0,839.0,169.0,0
1,95.0,57.0,69.0,3101.0,2450.0,402.0,793.0,165.0,0
1,83.0,58.0,83.0,4705.0,2133.0,491.0,687.0,149.0,0
1,75.0,29.0,97.0,3736.0,2025.0,527.0,694.0,167.0,0
0,66.0,33.0,108.0,3406.0,1524.0,441.0,628.0,154.0,0
1,71.0,49.0,87.0,3593.0,2022.0,459.0,686.0,159.0,0
1,89.0,16.0,97.0,3416.0,1767.0,384.0,659.0,159.0,0
1,87.0,45.0,101.0,4261.0,2229.0,569.0,791.0,201.0,0
1,71.0,31.0,68.0,2655.0,1724.0,338.0,563.0,103.0,0
0,33.0,63.0,101.0,4017.0,1602.0,540.0,531.0,171.0,0
1,74.0,53.0,89.0,3382.0,2198.0,489.0,713.0,174.0,0
0,63.0,4.0,83.0,2137.0,1329.0,334.0,531.0,101.0,0
1,75.0,31.0,93.0,3559.0,1514.0,385.0,680.0,158.0,0
0,48.0,36.0,72.0,2743.0,1128.0,310.0,521.0,128.0,0
1,75.0,23.0,78.0,2474.0,1743.0,307.0,608.0,120.0,0
1,89.0,18.0,91.0,2861.0,1798.0,359.0,732.0,150.0,0
1,73.0,12.0,93.0,2825.0,1550.0,412.0,624.0,122.0,0
0,47.0,19.0,81.0,2564.0,913.0,279.0,458.0,115.0,0
0,66.0,0.0,98.0,3511.0,1506.0,361.0,514.0,124.0,0
1,87.0,18.0,99.0,3507.0,1974.0,491.0,663.0,159.0,0
1,68.0,51.0,85.0,2800.0,1789.0,450.0,714.0,138.0,0
0,55.0,43.0,93.0,3275.0,1628.0,469.0,657.0,148.0,0
1,67.0,105.0,114.0,6009.0,2806.0,923.0,963.0,194.0,0
0,45.0,22.0,83.0,2331.0,691.0,247.0,363.0,116.0,0
1,73.0,30.0,94.0,3256.0,1640.0,434.0,642.0,152.0,0
1,86.0,59.0,84.0,4182.0,1906.0,483.0,849.0,180.0,0
1,63.0,53.0,107.0,4207.0,1750.0,479.0,712.0,162.0,0
0,57.0,20.0,89.0,3376.0,1536.0,402.0,483.0,113.0,0
1,97.0,23.0,103.0,3685.0,1811.0,439.0,854.0,197.0,0
1,76.0,23.0,79.0,2799.0,1427.0,276.0,560.0,133.0,0
0,54.0,12.0,83.0,2751.0,798.0,255.0,419.0,104.0,0
0,52.0,40.0,83.0,2424.0,1375.0,394.0,453.0,99.0,0
1,69.0,86.0,92.0,4408.0,1982.0,578.0,703.0,205.0,0
0,51.0,38.0,90.0,2818.0,1406.0,333.0,511.0,133.0,0
0,68.0,9.0,98.0,2953.0,1637.0,401.0,574.0,143.0,0
1,66.0,48.0,72.0,2667.0,1559.0,330.0,636.0,147.0,0
1,57.0,38.0,107.0,4376.0,1368.0,458.0,619.0,161.0,0
0,51.0,27.0,83.0,3180.0,1228.0,360.0,449.0,116.0,0
1,91.0,45.0,91.0,3759.0,2352.0,571.0,917.0,190.0,0
1,56.0,69.0,91.0,3443.0,1421.0,433.0,817.0,205.0,0
0,47.0,63.0,90.0,3094.0,1675.0,462.0,618.0,155.0,0
1,111.0,19.0,110.0,3605.0,2164.0,479.0,741.0,160.0,0
1,66.0,19.0,93.0,3235.0,1428.0,353.0,537.0,122.0,0
1,68.0,45.0,87.0,3689.0,1731.0,438.0,653.0,171.0,0
1,69.0,46.0,88.0,3580.0,1666.0,384.0,683.0,185.0,0
0,41.0,13.0,81.0,1680.0,925.0,277.0,367.0,126.0,0
1,86.0,71.0,115.0,5777.0,2574.0,582.0,940.0,220.0,0
1,72.0,48.0,98.0,4248.0,1943.0,406.0,682.0,194.0,0
0,31.0,28.0,83.0,2437.0,916.0,282.0,368.0,101.0,0
1,77.0,70.0,83.0,4091.0,1670.0,389.0,719.0,176.0,0
0,68.0,8.0,97.0,3167.0,1355.0,342.0,491.0,105.0,0
0,37.0,35.0,90.0,3464.0,1235.0,361.0,383.0,103.0,0
1,45.0,99.0,69.0,3516.0,1531.0,425.0,677.0,193.0,0
1,104.0,6.0,90.0,3068.0,2107.0,422.0,709.0,147.0,0
0,56.0,26.0,86.0,3036.0,1340.0,343.0,451.0,132.0,0
1,69.0,96.0,98.0,5720.0,2428.0,720.0,929.0,281.0,0
0,36.0,22.0,97.0,2724.0,1005.0,339.0,394.0,141.0,0
0,67.0,46.0,73.0,2821.0,1672.0,344.0,758.0,156.0,0
1,82.0,52.0,103.0,4043.0,2261.0,528.0,729.0,180.0,0
0,62.0,2.0,71.0,2009.0,957.0,240.0,406.0,87.0,0
0,57.0,2.0,95.0,2935.0,1363.0,351.0,465.0,125.0,0
0,61.0,24.0,72.0,2389.0,1202.0,278.0,596.0,131.0,0
1,69.0,64.0,96.0,4441.0,1801.0,568.0,853.0,197.0,0
1,71.0,83.0,86.0,2973.0,2080.0,497.0,757.0,182.0,0
1,93.0,71.0,80.0,3843.0,2204.0,522.0,853.0,151.0,0
1,79.0,73.0,100.0,4821.0,2785.0,639.0,955.0,220.0,0
1,68.0,31.0,115.0,4194.0,1733.0,475.0,679.0,170.0,0
1,70.0,82.0,93.0,4129.0,2009.0,635.0,853.0,207.0,0
1,73.0,25.0,89.0,3360.0,1526.0,399.0,599.0,134.0,0
1,65.0,54.0,90.0,3311.0,1916.0,431.0,646.0,146.0,0
1,71.0,34.0,71.0,2625.0,1539.0,338.0,625.0,129.0,0
1,76.0,39.0,71.0,2679.0,1416.0,309.0,515.0,113.0,0
1,85.0,20.0,82.0,3172.0,1894.0,351.0,612.0,129.0,0
0,67.0,5.0,76.0,2510.0,1048.0,263.0,471.0,128.0,0
0,61.0,3.0,87.0,2306.0,1127.0,311.0,554.0,121.0,0
1,64.0,75.0,80.0,3965.0,1853.0,533.0,730.0,149.0,0
0,58.0,11.0,92.0,2455.0,1344.0,327.0,461.0,106.0,0
1,75.0,26.0,91.0,3231.0,1543.0,375.0,625.0,158.0,0
0,55.0,36.0,70.0,2796.0,1146.0,285.0,467.0,119.0,0
1,94.0,3.0,98.0,3227.0,1777.0,406.0,606.0,137.0,0
1,69.0,11.0,57.0,1972.0,1361.0,282.0,398.0,92.0,0
1,54.0,82.0,102.0,3955.0,2301.0,627.0,773.0,190.0,0
1,63.0,48.0,93.0,3434.0,1395.0,373.0,781.0,173.0,0
0,52.0,58.0,106.0,4023.0,1414.0,531.0,571.0,178.0,0
1,72.0,49.0,80.0,3278.0,1748.0,384.0,723.0,148.0,0
0,63.0,23.0,80.0,2423.0,1336.0,366.0,681.0,139.0,0
0,50.0,25.0,74.0,2093.0,1127.0,261.0,523.0,115.0,0
1,63.0,33.0,85.0,3541.0,1542.0,414.0,599.0,153.0,0
1,76.0,102.0,92.0,5071.0,2135.0,507.0,985.0,242.0,0
0,39.0,35.0,72.0,2335.0,1054.0,345.0,455.0,113.0,0
0,51.0,25.0,81.0,3055.0,1113.0,300.0,517.0,132.0,0
1,48.0,61.0,89.0,3267.0,1410.0,473.0,594.0,149.0,0
1,68.0,16.0,96.0,3066.0,1469.0,313.0,572.0,140.0,0
0,40.0,45.0,90.0,3336.0,1015.0,372.0,585.0,173.0,0
1,70.0,56.0,90.0,3914.0,1995.0,451.0,817.0,182.0,0
0,38.0,34.0,87.0,2709.0,1040.0,355.0,443.0,127.0,0
1,83.0,50.0,73.0,3205.0,1749.0,401.0,632.0,162.0,0
0,32.0,60.0,94.0,3706.0,1103.0,361.0,549.0,169.0,0
1,106.0,20.0,91.0,4047.0,2321.0,471.0,752.0,142.0,0
1,73.0,59.0,81.0,3410.0,1604.0,371.0,783.0,167.0,0
0,38.0,41.0,102.0,3298.0,1343.0,352.0,550.0,161.0,0
1,72.0,41.0,81.0,3822.0,1533.0,346.0,619.0,122.0,0
1,85.0,28.0,106.0,3622.0,2080.0,422.0,641.0,153.0,0
1,65.0,72.0,109.0,4448.0,2261.0,560.0,725.0,191.0,0
0,37.0,28.0,90.0,3017.0,951.0,356.0,376.0,104.0,0
0,56.0,12.0,96.0,2526.0,1264.0,347.0,420.0,105.0,0
0,51.0,20.0,100.0,2748.0,955.0,346.0,473.0,154.0,0
1,96.0,46.0,85.0,3897.0,1964.0,447.0,832.0,184.0,0
0,49.0,36.0,82.0,3127.0,1317.0,311.0,536.0,126.0,0
1,61.0,49.0,66.0,3039.0,1252.0,362.0,578.0,127.0,0
1,88.0,24.0,81.0,2763.0,1685.0,369.0,706.0,126.0,0
0,71.0,37.0,97.0,3801.0,1507.0,413.0,578.0,150.0,0
1,55.0,52.0,114.0,4276.0,1312.0,468.0,687.0,193.0,0
0,60.0,18.0,96.0,3071.0,1534.0,368.0,478.0,111.0,0
1,100.0,29.0,69.0,3227.0,1721.0,253.0,677.0,143.0,0
1,86.0,55.0,100.0,4731.0,2274.0,506.0,790.0,188.0,0
0,37.0,54.0,82.0,3309.0,1298.0,366.0,458.0,135.0,0
1,75.0,38.0,80.0,2611.0,1738.0,411.0,655.0,159.0,0
0,37.0,63.0,80.0,2959.0,1403.0,405.0,502.0,129.0,0
0,56.0,11.0,92.0,2670.0,1232.0,368.0,492.0,128.0,0
1,98.0,43.0,75.0,3552.0,1650.0,398.0,841.0,186.0,0
1,77.0,8.0,67.0,2541.0,1783.0,310.0,589.0,108.0,0
1,88.0,49.0,85.0,4045.0,1700.0,463.0,811.0,196.0,0
1,58.0,45.0,96.0,3014.0,1487.0,439.0,606.0,164.0,0
0,75.0,29.0,79.0,3357.0,1560.0,340.0,610.0,138.0,0
1,60.0,39.0,110.0,4145.0,1645.0,439.0,542.0,146.0,0
1,67.0,31.0,94.0,3428.0,1782.0,447.0,595.0,143.0,0
0,50.0,12.0,71.0,1989.0,981.0,274.0,350.0,84.0,0
0,24.0,38.0,85.0,2641.0,831.0,347.0,355.0,131.0,0
0,58.0,14.0,96.0,3016.0,1215.0,317.0,473.0,125.0,0
0,76.0,18.0,76.0,2374.0,1244.0,319.0,515.0,115.0,0
0,60.0,9.0,116.0,4030.0,1337.0,442.0,642.0,151.0,1
1,57.0,91.0,85.0,3606.0,1969.0,577.0,1748.0,102.0,1
0,46.0,36.0,95.0,2756.0,982.0,327.0,498.0,143.0,1
0,65.0,21.0,80.0,3071.0,1612.0,438.0,516.0,115.0,1
0,17.0,39.0,86.0,2419.0,727.0,290.0,339.0,117.0,1
1,101.0,23.0,101.0,3278.0,1949.0,472.0,1678.0,66.0,1
1,81.0,68.0,82.0,5066.0,2157.0,518.0,1728.0,84.0,1
0,78.0,4.0,89.0,2255.0,1723.0,353.0,567.0,120.0,1
1,73.0,10.0,104.0,3220.0,1408.0,342.0,1702.0,80.0,1
0,26.0,57.0,87.0,3019.0,1030.0,416.0,447.0,132.0,1
0,59.0,5.0,85.0,2553.0,1244.0,301.0,413.0,93.0,1
1,59.0,58.0,74.0,3525.0,1776.0,402.0,1704.0,72.0,1
0,46.0,1.0,102.0,2768.0,952.0,330.0,410.0,135.0,1
1,79.0,45.0,74.0,3032.0,1723.0,418.0,1725.0,82.0,1
1,70.0,62.0,95.0,4145.0,1748.0,478.0,1799.0,93.0,1
1,93.0,73.0,91.0,4724.0,2228.0,556.0,1782.0,101.0,1
1,55.0,99.0,102.0,3424.0,2262.0,668.0,1760.0,104.0,1
0,51.0,37.0,82.0,2828.0,1541.0,370.0,600.0,160.0,1
0,76.0,28.0,88.0,3607.0,1874.0,420.0,754.0,164.0,1
1,119.0,68.0,104.0,4681.0,2949.0,643.0,1854.0,99.0,1
0,54.0,31.0,98.0,2932.0,1431.0,438.0,578.0,146.0,1
0,45.0,47.0,97.0,4137.0,1382.0,407.0,578.0,186.0,1
0,45.0,2.0,68.0,2228.0,742.0,250.0,371.0,99.0,1
0,44.0,61.0,65.0,3565.0,1333.0,303.0,590.0,148.0,1
1,68.0,33.0,85.0,3117.0,1448.0,340.0,1672.0,75.0,1
1,63.0,41.0,92.0,2954.0,1442.0,283.0,1661.0,72.0,1
1,62.0,58.0,98.0,4476.0,1903.0,435.0,1717.0,77.0,1
0,50.0,31.0,97.0,2273.0,1121.0,292.0,547.0,154.0,1
1,85.0,74.0,118.0,4755.0,2443.0,608.0,1755.0,102.0,1
1,63.0,48.0,112.0,4388.0,1795.0,545.0,1727.0,92.0,1
0,32.0,54.0,92.0,3327.0,1258.0,426.0,389.0,136.0,1
1,113.0,58.0,117.0,5491.0,2745.0,535.0,1858.0,109.0,1
0,47.0,28.0,90.0,2991.0,1088.0,296.0,538.0,139.0,1
0,75.0,2.0,85.0,2997.0,1569.0,336.0,622.0,143.0,1
1,82.0,28.0,108.0,4519.0,1514.0,478.0,1734.0,88.0,1
0,63.0,25.0,80.0,2842.0,1570.0,346.0,488.0,114.0,1
1,51.0,76.0,87.0,4359.0,1936.0,387.0,1699.0,71.0,1
1,61.0,21.0,89.0,3672.0,1417.0,374.0,1615.0,63.0,1
0,48.0,20.0,77.0,2674.0,1005.0,341.0,457.0,121.0,1
1,63.0,75.0,97.0,4198.0,1819.0,523.0,1718.0,95.0,1
0,49.0,58.0,93.0,3971.0,1423.0,370.0,542.0,149.0,1
0,44.0,33.0,78.0,2620.0,1123.0,306.0,475.0,113.0,1
1,48.0,77.0,100.0,3972.0,1747.0,471.0,1714.0,83.0,1
0,44.0,52.0,78.0,3426.0,1267.0,380.0,514.0,129.0,1
1,96.0,7.0,98.0,4055.0,1873.0,399.0,1737.0,69.0,1
0,70.0,26.0,82.0,2975.0,1286.0,328.0,543.0,119.0,1
1,76.0,65.0,98.0,3751.0,2115.0,477.0,1725.0,98.0,1
1,87.0,47.0,76.0,4452.0,2382.0,439.0,1699.0,68.0,1
1,95.0,45.0,67.0,3649.0,2078.0,400.0,1796.0,90.0,1
0,41.0,61.0,79.0,3590.0,1593.0,339.0,564.0,162.0,1
1,88.0,47.0,112.0,4583.0,2468.0,516.0,1759.0,95.0,1
0,38.0,22.0,83.0,1984.0,829.0,302.0,359.0,95.0,1
1,80.0,30.0,101.0,3558.0,1602.0,447.0,1778.0,94.0,1
0,72.0,27.0,86.0,3141.0,1375.0,328.0,681.0,147.0,1
1,88.0,18.0,89.0,3930.0,1785.0,392.0,1713.0,66.0,1
1,72.0,22.0,79.0,2903.0,1593.0,315.0,1679.0,68.0,1
0,30.0,49.0,78.0,2982.0,1120.0,311.0,390.0,103.0,1
1,71.0,66.0,55.0,3366.0,1589.0,423.0,1726.0,75.0,1
1,75.0,18.0,89.0,2990.0,1470.0,372.0,1688.0,65.0,1
1,62.0,58.0,69.0,3054.0,1610.0,398.0,1685.0,75.0,1
1,73.0,64.0,97.0,4085.0,1988.0,596.0,1763.0,112.0,1
1,81.0,40.0,96.0,3120.0,1848.0,438.0,1678.0,77.0,1
0,47.0,29.0,77.0,2152.0,1238.0,321.0,401.0,102.0,1
0,45.0,18.0,91.0,2318.0,1053.0,329.0,434.0,116.0,1
0,17.0,17.0,111.0,2519.0,721.0,370.0,285.0,114.0,1
1,78.0,26.0,98.0,3582.0,1674.0,406.0,1714.0,77.0,1
1,82.0,7.0,108.0,3295.0,1520.0,412.0,1681.0,74.0,1
0,31.0,17.0,85.0,2629.0,743.0,248.0,347.0,109.0,1
1,35.0,76.0,102.0,4017.0,1392.0,496.0,1667.0,102.0,1
1,81.0,45.0,104.0,4453.0,2159.0,452.0,1723.0,84.0,1
0,78.0,4.0,78.0,2904.0,1645.0,346.0,587.0,121.0,1
1,79.0,23.0,65.0,2081.0,1367.0,258.0,1670.0,52.0,1
0,57.0,53.0,88.0,3742.0,1261.0,379.0,625.0,171.0,1
0,60.0,80.0,87.0,3911.0,1947.0,465.0,716.0,157.0,1
0,73.0,31.0,85.0,2999.0,1580.0,330.0,626.0,141.0,1
0,46.0,53.0,68.0,2564.0,1059.0,249.0,605.0,139.0,1
1,69.0,62.0,81.0,4778.0,1822.0,450.0,1729.0,81.0,1
0,59.0,3.0,86.0,2823.0,1168.0,359.0,528.0,120.0,1
1,83.0,63.0,91.0,5277.0,2008.0,462.0,1747.0,79.0,1
1,75.0,36.0,98.0,3161.0,1645.0,475.0,1702.0,97.0,1
0,29.0,23.0,96.0,2964.0,829.0,333.0,361.0,110.0,1
0,59.0,44.0,75.0,3100.0,1457.0,368.0,623.0,135.0,1
0,63.0,6.0,117.0,3040.0,1308.0,415.0,482.0,131.0,1
0,52.0,15.0,108.0,2646.0,1305.0,405.0,460.0,100.0,1
1,47.0,40.0,90.0,2745.0,958.0,322.0,1617.0,72.0,1
0,41.0,43.0,96.0,3243.0,1197.0,425.0,523.0,163.0,1
0,49.0,19.0,90.0,2281.0,1055.0,335.0,499.0,119.0,1
0,9.0,55.0,81.0,2751.0,1047.0,370.0,389.0,119.0,1
1,47.0,57.0,87.0,3294.0,1423.0,398.0,1696.0,79.0,1
0,74.0,28.0,90.0,3394.0,2016.0,438.0,632.0,151.0,1
1,68.0,44.0,112.0,4091.0,1864.0,433.0,1653.0,73.0,1
1,112.0,95.0,80.0,5658.0,3039.0,623.0,1945.0,113.0,1
0,52.0,24.0,90.0,3264.0,1536.0,371.0,542.0,130.0,1
1,59.0,46.0,92.0,3045.0,1570.0,368.0,1640.0,75.0,1
1,80.0,26.0,105.0,3555.0,1814.0,421.0,1723.0,83.0,1
1,75.0,77.0,96.0,5084.0,2193.0,458.0,1738.0,78.0,1
0,49.0,35.0,88.0,3141.0,1217.0,360.0,570.0,143.0,1
1,53.0,67.0,97.0,4310.0,1682.0,470.0,1696.0,80.0,1
0,52.0,16.0,71.0,2213.0,1257.0,309.0,474.0,97.0,1
0,42.0,23.0,68.0,1896.0,1008.0,274.0,415.0,95.0,1
1,66.0,23.0,72.0,2539.0,1414.0,268.0,1618.0,48.0,1
1,99.0,43.0,115.0,4703.0,2224.0,558.0,1811.0,82.0,1
0,64.0,37.0,105.0,3463.0,1526.0,415.0,663.0,183.0,1
0,37.0,56.0,96.0,2904.0,1176.0,323.0,448.0,138.0,1
0,72.0,7.0,75.0,1839.0,1265.0,260.0,487.0,93.0,1
1,64.0,78.0,100.0,4992.0,2118.0,585.0,1775.0,102.0,1
0,56.0,24.0,95.0,3302.0,1199.0,409.0,516.0,143.0,1
1,70.0,41.0,83.0,4212.0,1644.0,449.0,1708.0,75.0,1
1,87.0,39.0,73.0,3297.0,1846.0,437.0,1706.0,66.0,1
1,83.0,37.0,90.0,3846.0,1771.0,439.0,1728.0,77.0,1
1,49.0,84.0,82.0,3566.0,1976.0,541.0,1698.0,88.0,1
0,49.0,45.0,93.0,3043.0,1169.0,404.0,545.0,149.0,1
1,70.0,32.0,92.0,3013.0,1808.0,375.0,1666.0,60.0,1
0,71.0,33.0,93.0,3524.0,1424.0,357.0,651.0,167.0,1
0,43.0,20.0,96.0,2221.0,961.0,300.0,456.0,136.0,1
1,88.0,96.0,96.0,5599.0,2686.0,595.0,1841.0,96.0,1
1,72.0,56.0,82.0,3915.0,1858.0,420.0,1732.0,86.0,1
0,56.0,24.0,115.0,3303.0,1310.0,366.0,481.0,151.0,1
1,88.0,24.0,84.0,3310.0,1615.0,373.0,1726.0,78.0,1
0,35.0,54.0,93.0,3835.0,1208.0,433.0,544.0,168.0,1
1,62.0,38.0,78.0,2220.0,1389.0,368.0,1637.0,51.0,1
1,107.0,4.0,84.0,3377.0,2199.0,418.0,1745.0,81.0,1
0,34.0,38.0,94.0,2970.0,1041.0,383.0,482.0,157.0,1
0,55.0,29.0,79.0,2460.0,1155.0,317.0,474.0,111.0,1
1,105.0,56.0,104.0,5107.0,2484.0,502.0,1783.0,102.0,1
0,51.0,53.0,73.0,3136.0,1427.0,364.0,548.0,137.0,1
0,70.0,8.0,94.0,3163.0,1508.0,429.0,521.0,130.0,1
1,75.0,67.0,96.0,4465.0,2043.0,562.0,1721.0,72.0,1
0,22.0,6.0,99.0,2210.0,600.0,268.0,317.0,126.0,1
0,23.0,48.0,94.0,3523.0,1044.0,395.0,422.0,132.0,1
0,54.0,7.0,91.0,3170.0,1084.0,317.0,459.0,128.0,1
1,84.0,52.0,122.0,4350.0,2006.0,540.0,1727.0,108.0,1
1,96.0,29.0,108.0,4577.0,2154.0,496.0,1711.0,74.0,1
1,88.0,18.0,84.0,2956.0,1744.0,440.0,1668.0,66.0,1
1,90.0,59.0,76.0,4642.0,2357.0,569.0,1778.0,83.0,1
1,59.0,97.0,78.0,4052.0,2036.0,454.0,1717.0,106.0,1
1,95.0,45.0,95.0,3952.0,2027.0,492.0,1738.0,77.0,1
0,54.0,36.0,96.0,2773.0,1456.0,392.0,585.0,145.0,1
1,76.0,38.0,118.0,3465.0,1845.0,486.0,1733.0,97.0,1
0,62.0,6.0,106.0,2712.0,1111.0,300.0,528.0,133.0,1
0,65.0,6.0,74.0,2406.0,1291.0,267.0,466.0,103.0,1
0,50.0,21.0,105.0,2556.0,1202.0,409.0,459.0,145.0,1
0,32.0,11.0,104.0,2502.0,934.0,312.0,333.0,124.0,1
0,27.0,31.0,87.0,2724.0,982.0,286.0,342.0,94.0,1
1,91.0,18.0,93.0,2934.0,1982.0,429.0,1709.0,81.0,1
0,40.0,42.0,104.0,3731.0,1402.0,524.0,522.0,176.0,1
0,55.0,40.0,91.0,3111.0,1351.0,372.0,596.0,152.0,1
0,63.0,5.0,96.0,2761.0,1257.0,393.0,505.0,116.0,1
0,26.0,55.0,85.0,2965.0,1077.0,417.0,319.0,129.0,1
0,41.0,0.0,83.0,1896.0,713.0,266.0,370.0,95.0,1
1,96.0,66.0,81.0,3837.0,2622.0,529.0,1729.0,78.0,1
1,72.0,45.0,113.0,4559.0,1883.0,473.0,1720.0,99.0,1
1,79.0,74.0,86.0,5112.0,2194.0,450.0,1800.0,83.0,1
1,73.0,17.0,103.0,3334.0,1466.0,367.0,1679.0,83.0,1
0,52.0,17.0,100.0,2606.0,1067.0,353.0,503.0,126.0,1
0,54.0,9.0,67.0,2090.0,991.0,236.0,444.0,88.0,1
0,60.0,27.0,88.0,2848.0,1255.0,388.0,554.0,147.0,1
1,110.0,43.0,98.0,4868.0,2413.0,572.0,1785.0,79.0,1
1,62.0,7.0,103.0,2683.0,1398.0,371.0,1672.0,65.0,1
0,54.0,19.0,79.0,2657.0,1238.0,413.0,523.0,121.0,1
1,81.0,35.0,78.0,3342.0,1390.0,315.0,1657.0,71.0,1
1,45.0,51.0,83.0,3759.0,1268.0,392.0,1649.0,71.0,1
1,70.0,37.0,77.0,2503.0,1365.0,387.0,1661.0,66.0,1
1,77.0,37.0,78.0,3245.0,2018.0,465.0,1772.0,83.0,1
1,62.0,31.0,84.0,3009.0,1406.0,300.0,1638.0,60.0,1
