Y,red,green,blue,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,led_3_ir,pol_2,E
1,139.0,83.0,123.0,29695.0,5771.0,3349.0,867.0,1145.0,265.0,0.0,0.0,0
0,107.0,76.0,114.0,22934.0,5643.0,2714.0,626.0,501.0,103.0,0.0,0.0,0
0,74.0,78.0,106.0,18354.0,4619.0,1782.0,498.0,753.0,204.0,0.0,0.0,0
0,117.0,80.0,109.0,22475.0,5413.0,2953.0,676.0,437.0,100.0,0.0,0.0,0
1,61.0,86.0,112.0,18510.0,4494.0,1925.0,531.0,724.0,140.0,0.0,0.0,0
0,113.0,111.0,109.0,26598.0,4926.0,3498.0,636.0,584.0,108.0,0.0,0.0,0
0,119.0,42.0,116.0,19543.0,4443.0,2657.0,513.0,964.0,215.0,0.0,0.0,0
1,105.0,128.0,96.0,24311.0,4937.0,3371.0,674.0,1072.0,201.0,0.0,0.0,0
1,87.0,94.0,124.0,25415.0,5027.0,2485.0,740.0,1021.0,211.0,0.0,0.0,0
1,107.0,86.0,108.0,23861.0,5029.0,2752.0,639.0,1061.0,199.0,0.0,0.0,0
0,79.0,91.0,112.0,20268.0,3536.0,2554.0,475.0,372.0,111.0,0.0,0.0,0
1,111.0,60.0,109.0,18653.0,4156.0,2353.0,548.0,902.0,158.0,0.0,0.0,0
1,81.0,70.0,106.0,16639.0,4384.0,2059.0,490.0,666.0,145.0,0.0,0.0,0
0,78.0,69.0,96.0,17147.0,3570.0,2089.0,378.0,840.0,206.0,0.0,0.0,0
1,101.0,98.0,102.0,20962.0,5224.0,2693.0,619.0,825.0,223.0,0.0,0.0,0
1,86.0,123.0,110.0,21764.0,5598.0,2511.0,652.0,814.0,210.0,0.0,0.0,0
1,65.0,92.0,95.0,17075.0,4024.0,2044.0,502.0,530.0,124.0,0.0,0.0,0
0,113.0,79.0,102.0,19983.0,5187.0,2665.0,616.0,1043.0,209.0,0.0,0.0,0
0,97.0,93.0,116.0,21253.0,4560.0,2745.0,516.0,487.0,97.0,0.0,0.0,0
0,94.0,85.0,145.0,22364.0,4911.0,2961.0,598.0,1076.0,273.0,0.0,0.0,0
0,105.0,97.0,105.0,22276.0,6804.0,2668.0,529.0,517.0,101.0,0.0,0.0,0
0,119.0,79.0,130.0,25022.0,5085.0,2475.0,660.0,1233.0,250.0,0.0,0.0,0
1,119.0,75.0,90.0,24685.0,4214.0,2534.0,525.0,982.0,162.0,0.0,0.0,0
1,112.0,97.0,130.0,31754.0,4508.0,3045.0,679.0,1001.0,242.0,0.0,0.0,0
0,137.0,75.0,123.0,25481.0,5845.0,2908.0,617.0,1151.0,260.0,0.0,0.0,0
0,85.0,80.0,94.0,19700.0,3738.0,2262.0,492.0,904.0,192.0,0.0,0.0,0
1,66.0,91.0,88.0,15682.0,3971.0,2071.0,543.0,602.0,167.0,0.0,0.0,0
0,74.0,62.0,111.0,19383.0,3136.0,2227.0,474.0,320.0,69.0,0.0,0.0,0
1,139.0,75.0,114.0,25594.0,6447.0,3454.0,721.0,1083.0,212.0,0.0,0.0,0
0,102.0,85.0,113.0,22897.0,4552.0,2604.0,683.0,487.0,108.0,0.0,0.0,0
1,173.0,93.0,118.0,35589.0,6029.0,4019.0,813.0,1175.0,263.0,0.0,0.0,0
0,88.0,89.0,108.0,22422.0,4844.0,2294.0,561.0,435.0,85.0,0.0,0.0,0
1,113.0,100.0,115.0,23491.0,5927.0,2884.0,623.0,940.0,203.0,0.0,0.0,0
0,98.0,82.0,97.0,18661.0,4743.0,2484.0,628.0,401.0,83.0,0.0,0.0,0
1,103.0,84.0,92.0,24918.0,4831.0,2513.0,537.0,911.0,187.0,0.0,0.0,0
1,72.0,52.0,149.0,18026.0,4888.0,1853.0,582.0,758.0,169.0,0.0,0.0,0
0,72.0,67.0,114.0,16808.0,3532.0,1854.0,445.0,749.0,196.0,0.0,0.0,0
0,57.0,65.0,122.0,15570.0,3911.0,1984.0,596.0,283.0,87.0,0.0,0.0,0
1,106.0,58.0,132.0,23070.0,4991.0,2774.0,597.0,732.0,210.0,0.0,0.0,0
0,133.0,86.0,112.0,28003.0,5356.0,3071.0,650.0,1266.0,252.0,0.0,0.0,0
0,74.0,78.0,92.0,17843.0,3632.0,1886.0,478.0,785.0,144.0,0.0,0.0,0
0,45.0,104.0,115.0,15098.0,5257.0,1979.0,636.0,382.0,91.0,0.0,0.0,0
1,97.0,115.0,108.0,28286.0,5107.0,2688.0,685.0,1012.0,225.0,0.0,0.0,0
0,113.0,67.0,89.0,23717.0,5072.0,2555.0,456.0,413.0,85.0,0.0,0.0,0
1,87.0,62.0,121.0,17890.0,3405.0,2577.0,474.0,616.0,177.0,0.0,0.0,0
1,124.0,75.0,140.0,26522.0,4475.0,3568.0,617.0,982.0,227.0,0.0,0.0,0
1,107.0,88.0,135.0,27309.0,4772.0,2950.0,680.0,855.0,178.0,0.0,0.0,0
0,84.0,85.0,122.0,22077.0,5609.0,1877.0,614.0,830.0,215.0,0.0,0.0,0
1,117.0,58.0,67.0,22497.0,4085.0,2396.0,494.0,865.0,137.0,0.0,0.0,0
1,99.0,50.0,128.0,20418.0,4730.0,2427.0,553.0,790.0,175.0,0.0,0.0,0
1,71.0,112.0,132.0,20436.0,5077.0,2676.0,648.0,944.0,229.0,0.0,0.0,0
0,107.0,78.0,83.0,18901.0,4472.0,2795.0,346.0,477.0,80.0,0.0,0.0,0
0,131.0,61.0,82.0,23959.0,3976.0,2879.0,522.0,997.0,159.0,0.0,0.0,0
1,52.0,46.0,102.0,14526.0,3092.0,1366.0,359.0,464.0,116.0,0.0,0.0,0
0,112.0,84.0,99.0,21638.0,5528.0,3144.0,585.0,449.0,83.0,0.0,0.0,0
0,114.0,111.0,119.0,26904.0,5971.0,2875.0,747.0,1415.0,302.0,0.0,0.0,0
0,67.0,51.0,118.0,16888.0,3888.0,1999.0,456.0,309.0,66.0,0.0,0.0,0
0,101.0,74.0,127.0,20343.0,5183.0,2460.0,693.0,893.0,200.0,0.0,0.0,0
1,112.0,115.0,98.0,21514.0,5332.0,3010.0,525.0,931.0,191.0,0.0,0.0,0
1,83.0,92.0,105.0,21005.0,5047.0,2064.0,479.0,956.0,195.0,0.0,0.0,0
1,57.0,107.0,116.0,16089.0,5390.0,1781.0,624.0,682.0,175.0,0.0,0.0,0
1,101.0,108.0,104.0,24877.0,5187.0,3085.0,668.0,900.0,200.0,0.0,0.0,0
1,116.0,41.0,111.0,20887.0,4778.0,2155.0,573.0,818.0,164.0,0.0,0.0,0
1,97.0,80.0,113.0,18011.0,4643.0,2447.0,577.0,865.0,187.0,0.0,0.0,0
0,76.0,62.0,116.0,16466.0,4346.0,1817.0,563.0,417.0,77.0,0.0,0.0,0
0,148.0,69.0,120.0,28715.0,4925.0,3141.0,696.0,557.0,98.0,0.0,0.0,0
1,85.0,107.0,121.0,20779.0,5488.0,2606.0,701.0,753.0,184.0,0.0,0.0,0
0,90.0,102.0,77.0,19800.0,4876.0,2224.0,571.0,486.0,64.0,0.0,0.0,0
0,65.0,60.0,108.0,13268.0,3756.0,1862.0,550.0,341.0,83.0,0.0,0.0,0
0,67.0,46.0,135.0,17138.0,4085.0,1598.0,564.0,636.0,174.0,0.0,0.0,0
1,127.0,76.0,120.0,28700.0,5524.0,2902.0,564.0,1035.0,192.0,0.0,0.0,0
1,55.0,39.0,149.0,12693.0,3450.0,1612.0,525.0,509.0,173.0,0.0,0.0,0
0,71.0,81.0,129.0,20564.0,4676.0,2361.0,605.0,380.0,98.0,0.0,0.0,0
0,95.0,90.0,80.0,19274.0,3553.0,2568.0,629.0,383.0,95.0,0.0,0.0,0
1,93.0,78.0,86.0,16583.0,4347.0,1988.0,452.0,733.0,146.0,0.0,0.0,0
1,138.0,84.0,100.0,29130.0,4889.0,3359.0,661.0,1006.0,208.0,0.0,0.0,0
0,91.0,75.0,101.0,19577.0,3312.0,2495.0,535.0,873.0,211.0,0.0,0.0,0
1,127.0,89.0,103.0,28367.0,4771.0,3661.0,632.0,954.0,243.0,0.0,0.0,0
1,82.0,51.0,124.0,15366.0,4223.0,2022.0,496.0,685.0,164.0,0.0,0.0,0
0,70.0,97.0,74.0,12810.0,4049.0,2022.0,450.0,411.0,80.0,0.0,0.0,0
1,167.0,67.0,111.0,30265.0,4982.0,3699.0,745.0,962.0,164.0,0.0,0.0,0
0,123.0,68.0,104.0,21885.0,5333.0,2514.0,503.0,1090.0,203.0,0.0,0.0,0
0,119.0,100.0,107.0,26342.0,5679.0,2633.0,662.0,1299.0,220.0,0.0,0.0,0
0,71.0,99.0,98.0,16903.0,5082.0,1956.0,560.0,416.0,94.0,0.0,0.0,0
0,102.0,66.0,111.0,19604.0,4296.0,2817.0,485.0,504.0,79.0,0.0,0.0,0
0,108.0,100.0,122.0,26040.0,5885.0,3057.0,678.0,1068.0,237.0,0.0,0.0,0
1,145.0,104.0,104.0,29086.0,4948.0,3311.0,678.0,1157.0,181.0,0.0,0.0,0
1,92.0,68.0,99.0,21718.0,3690.0,2191.0,538.0,613.0,159.0,0.0,0.0,0
1,46.0,100.0,101.0,16739.0,4246.0,1792.0,493.0,638.0,202.0,0.0,0.0,0
0,103.0,90.0,126.0,23282.0,5325.0,2774.0,579.0,1085.0,280.0,0.0,0.0,0
0,95.0,88.0,102.0,18983.0,5062.0,2215.0,569.0,434.0,114.0,0.0,0.0,0
1,129.0,100.0,112.0,25038.0,6343.0,3319.0,730.0,1130.0,219.0,0.0,0.0,0
0,46.0,83.0,135.0,16402.0,4731.0,1833.0,547.0,338.0,97.0,0.0,0.0,0
0,111.0,77.0,102.0,21492.0,4678.0,2839.0,587.0,877.0,278.0,0.0,0.0,0
0,96.0,69.0,130.0,19530.0,5170.0,2247.0,581.0,1033.0,228.0,0.0,0.0,0
1,97.0,92.0,121.0,21788.0,5585.0,2833.0,695.0,957.0,211.0,0.0,0.0,0
1,99.0,70.0,129.0,17462.0,5147.0,2645.0,591.0,797.0,155.0,0.0,0.0,0
1,102.0,62.0,110.0,19681.0,3828.0,2534.0,536.0,728.0,185.0,0.0,0.0,0
0,114.0,88.0,115.0,23875.0,5820.0,1374.0,645.0,459.0,114.0,0.0,0.0,0
1,91.0,77.0,84.0,17058.0,4763.0,2292.0,468.0,700.0,138.0,0.0,0.0,0
1,70.0,86.0,77.0,15781.0,4090.0,1196.0,503.0,641.0,162.0,0.0,0.0,0
1,94.0,60.0,112.0,19524.0,4634.0,2360.0,538.0,774.0,171.0,0.0,0.0,0
1,119.0,55.0,107.0,21981.0,4409.0,2240.0,452.0,930.0,165.0,0.0,0.0,0
1,75.0,69.0,129.0,15824.0,4801.0,2179.0,631.0,807.0,170.0,0.0,0.0,0
0,71.0,65.0,106.0,16483.0,3884.0,1775.0,489.0,354.0,63.0,0.0,0.0,0
0,84.0,115.0,103.0,24800.0,5603.0,2292.0,531.0,908.0,211.0,0.0,0.0,0
1,32.0,68.0,131.0,10798.0,4301.0,1222.0,470.0,451.0,134.0,0.0,0.0,0
1,117.0,73.0,91.0,22351.0,5040.0,2640.0,497.0,881.0,183.0,0.0,0.0,0
0,90.0,80.0,113.0,17995.0,5649.0,2070.0,650.0,973.0,193.0,0.0,0.0,0
1,73.0,95.0,86.0,16305.0,4487.0,2094.0,495.0,785.0,142.0,0.0,0.0,0
0,86.0,83.0,122.0,19457.0,5581.0,2388.0,560.0,475.0,87.0,0.0,0.0,0
0,95.0,55.0,106.0,21021.0,3680.0,2306.0,392.0,391.0,87.0,0.0,0.0,0
0,91.0,65.0,109.0,22679.0,4932.0,2148.0,495.0,906.0,172.0,0.0,0.0,0
1,75.0,79.0,109.0,16311.0,4733.0,2277.0,552.0,696.0,166.0,0.0,0.0,0
0,113.0,71.0,129.0,23779.0,5030.0,2236.0,611.0,1071.0,232.0,0.0,0.0,0
0,133.0,106.0,128.0,27928.0,7176.0,2956.0,758.0,525.0,125.0,0.0,0.0,0
0,105.0,51.0,119.0,23027.0,4164.0,2352.0,475.0,1048.0,169.0,0.0,0.0,0
0,87.0,79.0,113.0,19719.0,4557.0,2428.0,575.0,394.0,94.0,0.0,0.0,0
1,80.0,87.0,100.0,17376.0,5090.0,2044.0,644.0,670.0,154.0,0.0,0.0,0
0,147.0,91.0,79.0,28366.0,5923.0,3159.0,590.0,1214.0,209.0,0.0,0.0,0
0,111.0,79.0,85.0,24105.0,4803.0,2552.0,499.0,370.0,89.0,0.0,0.0,0
1,98.0,79.0,115.0,21943.0,4802.0,2722.0,619.0,794.0,159.0,0.0,0.0,0
1,106.0,87.0,105.0,29063.0,5806.0,3148.0,551.0,776.0,176.0,0.0,0.0,0
0,96.0,112.0,114.0,22605.0,5300.0,2631.0,638.0,1266.0,233.0,0.0,0.0,0
0,79.0,50.0,106.0,14298.0,3341.0,1609.0,440.0,685.0,192.0,0.0,0.0,0
1,72.0,76.0,103.0,17828.0,4222.0,2037.0,534.0,691.0,193.0,0.0,0.0,0
1,100.0,36.0,126.0,18519.0,3671.0,1842.0,543.0,615.0,179.0,0.0,0.0,0
1,59.0,79.0,102.0,18236.0,3012.0,1498.0,481.0,642.0,134.0,0.0,0.0,0
1,108.0,69.0,101.0,19070.0,4772.0,2672.0,442.0,895.0,170.0,0.0,0.0,0
0,86.0,43.0,106.0,17372.0,3581.0,2270.0,420.0,336.0,63.0,0.0,0.0,0
1,90.0,95.0,110.0,25588.0,4742.0,2124.0,659.0,581.0,207.0,0.0,0.0,0
1,81.0,67.0,88.0,17509.0,3577.0,2246.0,507.0,651.0,151.0,0.0,0.0,0
1,51.0,98.0,89.0,18670.0,4123.0,2103.0,525.0,546.0,152.0,0.0,0.0,0
0,98.0,129.0,122.0,26117.0,5599.0,2771.0,693.0,1148.0,313.0,0.0,0.0,0
1,134.0,74.0,99.0,28183.0,4978.0,3197.0,634.0,872.0,154.0,0.0,0.0,0
1,84.0,88.0,128.0,20987.0,5309.0,2080.0,607.0,900.0,184.0,0.0,0.0,0
0,81.0,79.0,116.0,19077.0,5085.0,2251.0,581.0,775.0,197.0,0.0,0.0,0
1,133.0,55.0,105.0,23583.0,5098.0,2636.0,481.0,976.0,171.0,0.0,0.0,0
1,79.0,124.0,100.0,24709.0,4325.0,2291.0,717.0,651.0,213.0,0.0,0.0,0
0,80.0,70.0,125.0,17325.0,4636.0,2116.0,494.0,817.0,195.0,0.0,0.0,0
0,132.0,108.0,98.0,29251.0,5238.0,3254.0,700.0,1146.0,242.0,0.0,0.0,0
0,84.0,72.0,102.0,18122.0,4235.0,2043.0,511.0,875.0,193.0,0.0,0.0,0
0,104.0,44.0,89.0,19139.0,3906.0,2085.0,462.0,360.0,71.0,0.0,0.0,0
0,122.0,136.0,101.0,30943.0,5600.0,3920.0,873.0,625.0,104.0,0.0,0.0,0
0,102.0,64.0,120.0,21994.0,4592.0,2260.0,555.0,516.0,78.0,0.0,0.0,0
0,92.0,80.0,88.0,17566.0,4109.0,2358.0,470.0,711.0,156.0,0.0,0.0,0
0,59.0,76.0,128.0,13446.0,5637.0,1982.0,537.0,820.0,163.0,0.0,0.0,0
0,64.0,74.0,84.0,16114.0,4031.0,1550.0,476.0,295.0,77.0,0.0,0.0,0
1,58.0,81.0,94.0,13876.0,3766.0,2012.0,430.0,656.0,124.0,0.0,0.0,0
1,71.0,95.0,96.0,16383.0,4051.0,2542.0,510.0,568.0,178.0,0.0,0.0,0
0,73.0,80.0,117.0,19067.0,4819.0,2175.0,609.0,807.0,213.0,0.0,0.0,0
0,154.0,87.0,124.0,34537.0,6014.0,3543.0,651.0,1193.0,267.0,0.0,0.0,0
1,98.0,74.0,126.0,21734.0,5160.0,2580.0,626.0,751.0,204.0,0.0,0.0,0
0,41.0,87.0,119.0,12638.0,4119.0,1798.0,521.0,307.0,97.0,0.0,0.0,0
1,55.0,107.0,102.0,17216.0,4907.0,2309.0,548.0,798.0,176.0,0.0,0.0,0
1,88.0,79.0,96.0,19454.0,4431.0,2203.0,514.0,672.0,152.0,0.0,0.0,0
0,80.0,96.0,126.0,18730.0,5141.0,2390.0,737.0,457.0,92.0,0.0,0.0,0
1,101.0,65.0,119.0,21345.0,4962.0,2083.0,609.0,778.0,211.0,0.0,0.0,0
1,96.0,79.0,108.0,18592.0,5087.0,2377.0,527.0,693.0,189.0,0.0,0.0,0
1,149.0,82.0,87.0,29677.0,5135.0,2969.0,553.0,1056.0,172.0,0.0,0.0,0
1,135.0,77.0,106.0,27237.0,5390.0,2627.0,656.0,842.0,154.0,0.0,0.0,0
0,122.0,91.0,111.0,28385.0,5920.0,3299.0,707.0,528.0,115.0,0.0,0.0,0
0,104.0,78.0,118.0,23492.0,5487.0,2710.0,601.0,886.0,230.0,0.0,0.0,0
1,38.0,59.0,120.0,9492.0,3445.0,1525.0,504.0,400.0,136.0,0.0,0.0,0
0,61.0,76.0,130.0,19000.0,4367.0,2194.0,446.0,745.0,224.0,0.0,0.0,0
0,92.0,61.0,87.0,17646.0,3901.0,2171.0,517.0,807.0,152.0,0.0,0.0,0
0,121.0,93.0,112.0,23318.0,5037.0,3202.0,611.0,517.0,106.0,0.0,0.0,0
1,87.0,68.0,88.0,17439.0,4412.0,2755.0,519.0,699.0,172.0,0.0,0.0,0
1,84.0,77.0,132.0,20777.0,4833.0,2627.0,590.0,782.0,175.0,0.0,0.0,0
1,118.0,66.0,124.0,25325.0,4150.0,2812.0,485.0,921.0,207.0,0.0,0.0,0
0,137.0,74.0,93.0,25261.0,4410.0,3095.0,661.0,541.0,109.0,0.0,0.0,0
1,170.0,73.0,110.0,28516.0,5054.0,3275.0,613.0,1150.0,259.0,0.0,0.0,0
0,102.0,95.0,109.0,24547.0,6009.0,2356.0,571.0,1032.0,240.0,0.0,0.0,0
1,116.0,112.0,113.0,24468.0,5793.0,3201.0,735.0,920.0,290.0,0.0,0.0,0
0,121.0,71.0,131.0,26604.0,4323.0,2382.0,591.0,1151.0,218.0,0.0,0.0,0
1,67.0,90.0,89.0,15231.0,3886.0,1827.0,512.0,743.0,186.0,0.0,0.0,0
1,58.0,86.0,123.0,16299.0,5521.0,1949.0,556.0,655.0,155.0,0.0,0.0,0
0,121.0,70.0,86.0,24111.0,4560.0,2448.0,516.0,481.0,90.0,0.0,0.0,0
0,119.0,70.0,136.0,24566.0,4939.0,2581.0,532.0,1075.0,254.0,0.0,0.0,0
1,116.0,75.0,116.0,22348.0,4903.0,2926.0,596.0,1009.0,188.0,0.0,0.0,0
0,107.0,68.0,86.0,19624.0,4225.0,2572.0,523.0,488.0,90.0,0.0,0.0,0
0,68.0,68.0,123.0,14023.0,4861.0,1776.0,494.0,686.0,201.0,0.0,0.0,0
0,137.0,44.0,109.0,22350.0,5042.0,2769.0,543.0,513.0,69.0,0.0,0.0,0
0,126.0,62.0,97.0,24703.0,4922.0,2545.0,480.0,1057.0,233.0,0.0,0.0,0
0,100.0,79.0,119.0,20100.0,5119.0,2780.0,659.0,385.0,93.0,0.0,0.0,0
0,137.0,63.0,102.0,21482.0,4168.0,3465.0,571.0,1226.0,234.0,0.0,0.0,0
1,83.0,56.0,114.0,18397.0,4283.0,2359.0,499.0,683.0,173.0,0.0,0.0,0
0,106.0,97.0,78.0,23595.0,5454.0,2587.0,446.0,478.0,81.0,0.0,0.0,0
1,53.0,127.0,112.0,18469.0,5596.0,2231.0,602.0,738.0,190.0,0.0,0.0,0
0,80.0,81.0,109.0,16346.0,3759.0,2190.0,611.0,443.0,84.0,0.0,0.0,0
1,112.0,89.0,101.0,25309.0,5022.0,2569.0,612.0,731.0,156.0,0.0,0.0,0
0,124.0,82.0,149.0,28723.0,6347.0,3191.0,739.0,520.0,116.0,0.0,0.0,0
1,85.0,90.0,152.0,24324.0,6020.0,2847.0,653.0,851.0,180.0,0.0,0.0,0
1,102.0,77.0,117.0,21103.0,5071.0,2473.0,576.0,836.0,172.0,0.0,0.0,0
0,59.0,69.0,119.0,18675.0,3948.0,1548.0,498.0,294.0,93.0,0.0,0.0,0
1,108.0,83.0,107.0,23214.0,4813.0,2989.0,529.0,844.0,212.0,0.0,0.0,0
0,102.0,60.0,103.0,17853.0,3567.0,2472.0,510.0,440.0,68.0,0.0,0.0,0
1,82.0,68.0,90.0,14662.0,4298.0,1890.0,496.0,682.0,148.0,0.0,0.0,0
0,83.0,87.0,111.0,19310.0,4753.0,2546.0,683.0,369.0,89.0,0.0,0.0,0
0,130.0,86.0,112.0,24306.0,4952.0,2668.0,601.0,1213.0,221.0,0.0,0.0,0
0,123.0,76.0,115.0,28308.0,5189.0,3092.0,547.0,580.0,93.0,0.0,0.0,0
1,88.0,105.0,102.0,19954.0,4655.0,2965.0,615.0,861.0,224.0,0.0,0.0,0
0,93.0,88.0,100.0,19892.0,4645.0,2191.0,499.0,432.0,87.0,0.0,0.0,0
1,79.0,73.0,126.0,16023.0,4590.0,2208.0,417.0,682.0,136.0,0.0,0.0,0
1,73.0,74.0,83.0,14809.0,3534.0,1832.0,473.0,681.0,130.0,0.0,0.0,0
1,70.0,54.0,101.0,16671.0,3672.0,1608.0,535.0,554.0,132.0,0.0,0.0,0
0,104.0,104.0,110.0,23909.0,5467.0,3567.0,708.0,1103.0,251.0,0.0,0.0,0
0,75.0,89.0,144.0,20325.0,5423.0,2359.0,596.0,1096.0,232.0,0.0,0.0,0
1,149.0,58.0,110.0,28716.0,6022.0,2893.0,605.0,890.0,174.0,0.0,0.0,0
1,127.0,104.0,112.0,30814.0,5987.0,3082.0,748.0,863.0,182.0,0.0,0.0,0
1,149.0,72.0,104.0,26643.0,5387.0,3316.0,654.0,1122.0,189.0,0.0,0.0,0
1,87.0,70.0,145.0,22922.0,5094.0,2056.0,689.0,684.0,192.0,0.0,0.0,0
0,106.0,95.0,123.0,23898.0,5356.0,2705.0,656.0,1035.0,307.0,0.0,0.0,0
1,117.0,100.0,118.0,29057.0,6106.0,3117.0,699.0,961.0,261.0,0.0,0.0,0
1,101.0,47.0,109.0,18008.0,4148.0,2496.0,524.0,626.0,152.0,0.0,0.0,0
0,78.0,118.0,132.0,24815.0,6120.0,2602.0,756.0,424.0,130.0,0.0,0.0,0
0,94.0,34.0,85.0,18671.0,3297.0,1810.0,390.0,336.0,64.0,0.0,0.0,0
1,101.0,65.0,77.0,18042.0,3982.0,2118.0,488.0,756.0,141.0,0.0,0.0,0
0,99.0,44.0,101.0,17325.0,4359.0,1997.0,464.0,817.0,175.0,0.0,0.0,0
1,128.0,62.0,83.0,21374.0,3617.0,2862.0,541.0,815.0,170.0,0.0,0.0,0
0,112.0,69.0,114.0,24426.0,4948.0,2385.0,530.0,1010.0,205.0,0.0,0.0,0
0,140.0,115.0,142.0,34740.0,6744.0,3277.0,814.0,1481.0,321.0,0.0,0.0,0
1,73.0,101.0,92.0,19000.0,3408.0,2197.0,561.0,594.0,139.0,0.0,0.0,0
1,141.0,92.0,119.0,29933.0,6736.0,3056.0,756.0,1064.0,207.0,0.0,0.0,0
1,91.0,101.0,111.0,24327.0,5378.0,2356.0,675.0,1030.0,199.0,0.0,0.0,0
1,124.0,67.0,104.0,22717.0,4737.0,2608.0,495.0,1006.0,182.0,0.0,0.0,0
0,129.0,72.0,86.0,23857.0,4358.0,2996.0,559.0,496.0,89.0,0.0,0.0,0
0,77.0,68.0,102.0,16734.0,4078.0,2221.0,454.0,908.0,190.0,0.0,0.0,0
0,87.0,79.0,102.0,22117.0,3840.0,1973.0,571.0,404.0,90.0,0.0,0.0,0
1,117.0,89.0,105.0,26905.0,4953.0,3048.0,630.0,775.0,170.0,0.0,0.0,0
1,85.0,49.0,140.0,16243.0,4868.0,2046.0,587.0,787.0,169.0,0.0,0.0,0
0,89.0,106.0,129.0,21847.0,5459.0,2377.0,757.0,443.0,126.0,0.0,0.0,0
1,112.0,66.0,103.0,21727.0,4556.0,2808.0,547.0,843.0,176.0,0.0,0.0,0
0,128.0,58.0,103.0,25458.0,4410.0,2952.0,486.0,483.0,87.0,0.0,0.0,0
1,94.0,86.0,80.0,19837.0,3782.0,2517.0,492.0,826.0,169.0,0.0,0.0,0
1,135.0,115.0,105.0,27914.0,5798.0,3843.0,598.0,1139.0,234.0,0.0,0.0,0
1,115.0,58.0,100.0,19993.0,4183.0,2455.0,626.0,844.0,176.0,0.0,0.0,0
1,112.0,84.0,86.0,23153.0,4991.0,2594.0,490.0,872.0,154.0,0.0,0.0,0
0,90.0,45.0,123.0,18174.0,4421.0,2577.0,444.0,400.0,80.0,0.0,0.0,0
0,63.0,67.0,98.0,15245.0,3788.0,1578.0,388.0,692.0,138.0,0.0,0.0,0
0,86.0,93.0,96.0,19133.0,5048.0,2222.0,534.0,907.0,220.0,0.0,0.0,0
1,119.0,96.0,117.0,32102.0,4956.0,3141.0,579.0,879.0,176.0,0.0,0.0,0
0,82.0,87.0,120.0,18089.0,4975.0,2061.0,547.0,446.0,96.0,0.0,0.0,0
1,106.0,84.0,114.0,25916.0,5843.0,2747.0,644.0,979.0,187.0,0.0,0.0,0
1,118.0,62.0,96.0,25227.0,3951.0,2760.0,508.0,791.0,180.0,0.0,0.0,0
0,76.0,74.0,118.0,21190.0,4119.0,2191.0,569.0,868.0,202.0,0.0,0.0,0
1,97.0,77.0,79.0,20838.0,3788.0,2251.0,539.0,730.0,129.0,0.0,0.0,0
